"","ID","time","PEG-9 (mol/L)","PEG-8 (mol/L)","PEG-7 (mol/L)","PEG-6 (mol/L)","PEG-5 (mol/L)","PEG-4 (mol/L)","PEG-3 (mol/L)","DEG (mol/L)","EG (mol/L)","Acetaldehyde (mol/L)","Acetate (mol/L)","CH4 (mol-gas)"
"1",1,0,0.00806170142326306,0.00240205797509471,0.000460668652757889,3.29049037684207e-05,0,0,0,0,0,0,0,0
"2",1,0.25,0.00802506315599977,0.00240503126728204,0.000475880826438312,4.8595753693382e-05,2.65543040005235e-06,1.03002127283821e-07,3.40393668014117e-09,1.1419508370647e-10,1.77519433056509e-05,7.14983138610493e-05,1.78024576325208e-05,248.173078177842
"3",1,0.5,0.00798842071809286,0.00240797924853116,0.000490733856180356,6.36949948106934e-05,6.03637673878384e-06,4.38152778164628e-07,2.77358489014312e-08,1.84568649551186e-09,5.35784012453478e-05,0.000116026430294396,3.51107637702879e-05,1096.8691042818
"4",1,1,0.00791510398402045,0.00241380063584953,0.000519434736739412,9.23169085039734e-05,1.45170939809157e-05,1.90453384771723e-06,2.2459988235081e-07,2.9617768277417e-08,0.000129551054781055,0.000163924640739214,6.24485237955332e-05,4458.77196671123
"5",1,2,0.00776827981154672,0.00242514824218648,0.0005732275452711,0.000144308475347825,3.60065282750463e-05,8.16001089128188e-06,1.72263294898737e-06,4.5336749910283e-07,0.000228943164408802,0.000200523042205778,0.000100761962535976,17079.7818644509
"6",1,3,0.00762114549040746,0.00243610223061609,0.000622838774177422,0.000190744420475526,6.06039811716154e-05,1.8324308328122e-05,5.28427819342801e-06,2.10112233598223e-06,0.000276818653590129,0.00021879477518773,0.000129503448979171,36738.3203865516
"7",1,4,0.00747366213945179,0.00244665928950734,0.000668866959482337,0.000232826341235112,8.6274524450636e-05,3.13466191055364e-05,1.10524392168226e-05,5.91404642020273e-06,0.000305492005708494,0.000234363170866579,0.000154499262237641,62894.0864974142
"8",1,5,0.00732579849877753,0.0024568144216653,0.000711784045051537,0.000271382211020748,0.000111947883738981,4.62034129355516e-05,1.87430615995544e-05,1.26376738284563e-05,0.000328287488507373,0.000249483800658554,0.000177132620426364,95164.7506986398
"9",1,6,0.00717752591860767,0.00246656131495304,0.000751970354345037,0.00030700979125664,0.000137069042375274,6.20873860603479e-05,2.78985864833177e-05,2.2693524529227e-05,0.000349216504241182,0.000264311861907625,0.000196746678159689,133103.029462097
"10",1,7,0.0070288180267354,0.00247589233078795,0.000789737266235096,0.000340156378705754,0.000161362055955279,7.84189337280611e-05,3.80512811747716e-05,3.61854112917184e-05,0.00036923654055362,0.00027870595125775,0.000211475160835897,176028.193249796
"11",1,8,0.00687965103433926,0.00248479844059311,0.000825343031952414,0.000371166430160226,0.000184703807536736,9.48036364424378e-05,4.87991262294811e-05,5.2970259466137e-05,0.000388477133414761,0.000292528797952336,0.000218803644071077,222881.178996407
"12",1,9,0.00673000403395632,0.00249326915851467,0.00085900420681089,0.000400311536889647,0.000207055213967089,0.000110983299074488,5.98273808466721e-05,7.27436374050055e-05,0.00040691669187792,0.000305691261651839,0.000216546901514987,272151.26516163
"13",1,10,0.00657985920609718,0.00250129247393578,0.000890904113157503,0.00042781009861038,0.000228423047111273,0.000126795165116149,7.09038963306942e-05,9.51153012819631e-05,0.000424563246634237,0.000318148982691478,0.000204422287836579,321978.467362782
"14",1,11,0.00642920194964331,0.00250885478023972,0.000921199225553714,0.0004538406941228,0.000248838424199106,0.00014214158347469,8.18649063563478e-05,0.000119666372721,0.000441478418034789,0.0003298909905557,0.000185287155766625,370508.732952552
"15",1,12,0.00627802096501788,0.00251594079573975,0.000950024065593494,0.000478551439892001,0.000268344565508011,0.000156968582987004,9.25994537442487e-05,0.000145987497340194,0.000457748567599671,0.000340928818037563,0.000164240042031787,416380.360563173
"16",1,13,0.00612630831581675,0.00252253347326875,0.000977495005922654,0.000502066708143039,0.000286989801870596,0.000171251120689098,0.000103035711312329,0.000173700624835968,0.000473448455533947,0.000351287963864628,0.000145675362781721,459002.08456372
"17",1,14,0.00597405948842806,0.00252861389551711,0.00100371326197999,0.000524492056313184,0.000304823603428403,0.00018498305594318,0.000113130068640956,0.000202468866189073,0.000488625329652239,0.000361001752252152,0.000131300957903879,498427.750601184
