"","ID","time","Water (% Change)","Liquid Volume (% Change)","Total Pressure (atm)","Temperature (C)"
"1",1,0,100,100,1,30
"2",1,0.25,100.000079275853,99.9841346176466,1.00351810090368,30
"3",1,0.5,100.000266180504,99.9686303631417,1.01371251384553,30
"4",1,1,100.000770507998,99.938508665839,1.04959790431852,30
"5",1,2,100.0016785546,99.881116164516,1.16507131165004,30
"6",1,3,100.001992702797,99.8268861946087,1.32209403130022,30
"7",1,4,100.001559672861,99.7754383817505,1.51251218839163,30
"8",1,5,100.000370086337,99.7265418370654,1.73280836884098,30
"9",1,6,99.9984541705204,99.6800168231838,1.97986661232141,30
"10",1,7,99.9958539436654,99.635707882174,2.24882922089821,30
"11",1,8,99.9926206146506,99.5934805607275,2.53179028049022,30
"12",1,9,99.9888238055231,99.5532292269234,2.81744926599058,30
"13",1,10,99.984567932198,99.5148916202622,3.09251647230117,30
"14",1,11,99.9800073931168,99.4784623362353,3.34528673673891,30
"15",1,12,99.9753416644508,99.4439875965883,3.5697402248448,30
"16",1,13,99.9707764843015,99.4115284027742,3.76680049064349,30
"17",1,14,99.9664718515496,99.3811114188295,3.94168933629722,30
"18",1,15,99.9625159678915,99.3527041104663,4.10024621416419,30
"19",1,16,99.9589346820641,99.3262230620763,4.24693231002881,30
"20",1,17,99.955716182308,99.3015565609554,4.38459305332376,30
"21",1,18,99.9528323109404,99.2785840579017,4.51492778436145,30
"22",1,19,99.9502510885225,99.257187449303,4.63897792134453,30
"23",1,20,99.947942347045,99.2372559521831,4.75744293431122,30
"24",1,21,99.9458795583027,99.2186874516972,4.87084806849445,30
"25",1,22,99.9440399821315,99.2013883030457,4.97962478143164,30
"26",1,23,99.9424042284596,99.1852726076273,5.08414786319259,30
"27",1,24,99.9409557002595,99.1702613981173,5.18475293623663,30
"28",1,25,99.9396800827352,99.1562818855453,5.28174539744146,30
"29",1,26,99.938564920075,99.1432668057506,5.37540557720922,30
"30",1,27,99.9375992774493,99.1311538619329,5.46599211469035,30
"31",1,28,99.9367734740911,99.1198852490166,5.55374439964075,30
"32",1,29,99.9360788724199,99.1094072448104,5.63888446561923,30
"33",1,30,99.9355077104375,99.0996698551165,5.72161852553731,30
"34",1,31,99.9350529673056,99.0906265025023,5.80213825445401,30
"35",1,32,99.9347082543352,99.0822337506779,5.88062188243892,30
"36",1,33,99.9344677254626,99.0744510581923,5.95723513766209,30
"37",1,34,99.9343260027049,99.0672405565231,6.03213206658496,30
"38",1,35,99.9342781131123,99.0605668486616,6.10545574981764,30
"39",1,36,99.934319434564,99.0543968250764,6.17733892674654,30
"40",1,37,99.9344456483091,99.0486994945325,6.24790453832164,30
