"","ID","time","Guar Gum (g/L)","AVG PEG MW (g/mol)","CH4 (mol-gas)","H2 (mol-gas)","CO2 (mol-gas)","Methanol (mol/L)","Isopropanol (mol/L)"
"123",2,38,1.70017783732705,173.353212946671,1287335.14385045,153266.194239558,765173.309361682,0.0189572817129709,0.0317597541376845
"124",2,39,1.63091533301566,165.473420548495,1311341.9167399,158454.470966903,777492.006710519,0.0168814282746725,0.029901230268515
"125",2,40,1.56463475537662,157.679576556575,1334363.58633859,163652.870998584,789300.10707611,0.0149719276894201,0.0280920537413223
"126",2,41,1.50120692449319,150.039115481587,1356346.87608478,168817.128477082,800570.75209006,0.0132247062763163,0.0263367817144833
"127",2,42,1.44050823315817,142.643071192477,1377235.40683824,173893.050266216,811272.368746521,0.0116347122026141,0.0246398400895917
"128",2,43,1.38242040626614,135.602325773314,1396973.96602347,178821.093661463,821371.997198361,0.0101959564713211,0.023005441377564
"129",2,44,1.32683027062908,129.053938398827,1415511.1379045,183538.611328007,830837.06157101,0.00890155132361965,0.0214374611586155
"130",2,45,1.27362953476626,123.161827318445,1432800.50494143,187980.884204734,839636.037295116,0.00774379468617447,0.0199393236740357
"131",2,46,1.22271457823863,118.099589917664,1448807.78658886,192089.071257062,847744.111164582,0.00671427713570299,0.0185138768806673
"132",2,47,1.17398625011638,114.016438299132,1463522.38175243,195822.92584133,855152.405618986,0.00580399102886195,0.0171632310448622
"133",2,48,1.12734967618615,110.979359086235,1476972.32977023,199177.308069114,861879.99304621,0.00500345155108416,0.0158885713390331
"134",2,49,1.082714074521,108.91959096849,1489236.25651852,202195.224911277,867983.428033274,0.00430284524362898,0.014689976340077
"135",2,50,1.03999257905256,107.640630617724,1500436.40036562,204960.013397984,873550.848627761,0.00369224466213029,0.0135663409713501
"136",2,51,0.999102070800088,106.89877423307,1510709.09672836,207563.732934916,878678.062574695,0.00316190413287893,0.0125155119126201
"137",2,52,0.959963016426013,106.486393564361,1520174.01325961,210075.99373388,883444.375580919,0.00270256967190882,0.0115346106206289
"138",2,53,0.922499313801402,106.262146510731,1528922.49563917,212534.657371766,887904.528229654,0.00230570151085702,0.0106203848366783
"139",2,54,0.886638144278494,106.141314097085,1537021.89133775,214953.353552859,892093.519043987,0.00196357068865663,0.00976946075136007
"140",2,55,0.852309831380096,106.076349610667,1544524.00323563,217332.237011325,896034.298261729,0.00166926084422723,0.00897847878703187
