"","ID","time","GUAR","GLUCOSE","ETHANOL","CO2_TOT","H2_TOT","CH4_TOT","PropAcid","ACETATE","H2O","PEG_9","PEG_8","PEG_7","PEG_6","PEG_5","PEG_4","PEG_3","DEG","EG","Acetaldehyde","METHANOL","ISOPROPANOL","ACIDOGEN","ACETOGEN","METHANOGEN","BACTEROID","Temp2","PEG_IN","V_TOT","Pressure_atm","GUAR_Conc","Conc_GLUCOSE","Conc_ACIDOGEN","Conc_ETHANOL","Conc_PropAcid","Conc_ACETOGEN","Conc_ACETATE","Conc_METHANOGEN","H2_LIQ","H2_GAS","CO2_LIQ","CO2_GAS","CH4_GAS","CH4_LIQ","Conc_BACTEROID","Conc_PEG9","Conc_PEG8","Conc_PEG7","Conc_PEG6","Conc_PEG5","Conc_PEG4","Conc_PEG3","Conc_DEG","Conc_EG","Conc_AcetHyde","AVG_PEG_MW","Conc_METHANOL","Conc_ISOPROPANOL","Rate_METHANOL","Rate_ISOPROPANOL"
"839",11,16,52107.0839777062,1075.46372687674,0.456013320863058,765073.409938033,83982.734381189,871917.679927766,0.00014655776759927,244.831412413545,226401384.974584,18456.0656514723,11287.2467608523,5110.35072270293,3031.36543704297,2000.60060025642,1374.65125826795,942.320294440747,3610.91641901516,1851.4782349574,1245.53935757416,497639.4502215,288339.906827507,5592397.62412261,14151824.0989574,16801635.5262801,1593816.23852274,30,48902.8731217816,4333298.75445737,4.97875959456306,2.213440449631,0.00024121302887583,1.25430466493755,1.02278069993625e-07,3.28710696087956e-11,3.17407669800353,5.49126159035835e-05,3.76839617560275,807.557093363462,83175.1772878256,211070.843647362,554002.566290672,749084.344751003,122833.335176763,0.35747299770122,0.00413946410805638,0.00253158791953022,0.00114618758925585,0.000679897257736564,0.000448709629435939,0.000308317040703676,0.000211350626444018,0.000809883276098573,0.000415263352720159,0.000279358860290928,340.616554117703,0.111614288865541,0.0646710256547864,0.00425193901831069,0.00212975582402806
"840",11,17,47979.5988910148,960.034278011515,0.415796671821517,792078.551914551,82247.0624261454,909352.619806457,0.000133610089563928,235.313897244062,226399874.391341,17288.538462056,11281.0315255437,5219.95980204056,3122.59785004087,2071.75085933431,1428.69526747573,981.4018646126,3912.229702968,1896.48178670396,1261.06257411256,479207.570986447,279084.050855681,5708030.40305411,14187953.8030882,16844108.7148689,1615276.05221217,30,48902.8731217816,4332402.98544749,5.12295066414204,2.03811030737932,0.000215323650846217,1.2802396473515,9.32579798835493e-08,2.99670677742718e-11,3.18218013761566,5.27779565896243e-05,3.7779223792389,791.029250664232,81456.0331754811,218553.821438533,573524.730476019,781222.799209772,128129.820596684,0.362286164830687,0.00387760239890153,0.00253019392018231,0.00117077153138108,0.000700359544023786,0.000464667740405724,0.000320438434320049,0.00022011613259619,0.000877464067571533,0.000425357085084786,0.000282840523117434,336.507243966249,0.107480249467418,0.06259505321796,0.00401996949533577,0.00202389016481068
"841",11,18,44200.6777419364,859.508887197983,0.379260007417621,817682.901019131,80697.9117443846,945182.977817503,0.000121850951959214,226.883620972526,226398930.422353,16114.3312829268,11265.8055328,5324.24829375713,3209.89208565524,2139.6411317375,1479.9836032146,1018.22551334548,4209.96478923597,1940.45765736059,1275.01462734702,461760.540623845,270278.209756627,5813163.13089762,14223392.8804174,16884498.0621994,1637217.06925138,30,48902.8731217816,4331590.76649116,5.26078306741605,1.877586703124,0.000192777066158069,1.30381959996484,8.50632641849754e-08,2.7329640655425e-11,3.19012867829584,5.08871513277652e-05,3.78698120340976,776.274085140668,79921.6376592439,225649.317893781,592033.58312535,811983.126409209,133199.851408295,0.367207259837781,0.00361424245181336,0.00252677892092612,0.00119416213241688,0.000719938546504041,0.00047989467724081,0.000331941764930278,0.000228375215281306,0.000944242314170205,0.000435220321466864,0.000285969793715424,332.332928851951,0.103567099322527,0.0606200134744342,0.00380976269053401,0.00192772453694086
"842",11,19,40740.6219451865,771.483240211336,0.346040933585568,842025.748571462,79328.368288795,979569.905685683,0.000111162682679427,219.425674370717,226398513.49289,14934.6246064142,11240.2164027505,5423.39547408864,3293.50589191012,2204.51418439218,1528.73537106572,1052.98489695857,4504.10396579334,1983.45728503284,1287.47914966085,445206.417304708,261881.260317518,5908723.49906324,14258256.9720426,16923037.6957846,1659627.7513515,30,48902.8731217816,4330855.13554097,5.39292082808445,1.73060807999123,0.00017303401727806,1.32525259232866,7.7612642452944e-08,2.49323958744176e-11,3.19794825689226,4.9214427418944e-05,3.7956251599808,763.228124610328,78565.1401641846,232395.592115333,609630.156456128,841503.935354218,138065.970331466,0.372233694828984,0.0033496490364194,0.00252103959991389,0.00121639960177507,0.000738692074827257,0.000494444889518727,0.000342876175168894,0.000236171309183533,0.00101021404330931,0.000444864598788498,0.000288765429779824,328.07965977711,0.0998542170314719,0.0587366830032086,0.00361908609220899,0.0018403259758769
"843",11,20,37572.2496669214,694.037856039035,0.315819972326567,865233.071993883,78132.6325917785,1012658.8091942,0.000101441638538538,212.837821132547,226398587.776237,13750.9412861819,11202.6135230716,5517.5173664246,3373.65537494703,2266.57963525863,1575.14238452905,1085.85048674608,4794.73803867239,2025.47893480804,1298.50317889875,429462.58490556,253855.985625043,5995552.51504382,14292649.8217822,16959938.843143,1682496.40643437,30,48902.8731217816,4330189.72763317,5.51996565059089,1.596019789401,0.000155663988683135,1.34472725187837,7.08344597782082e-08,2.27520875641883e-11,3.20566214184258,4.77368545416297e-05,3.80390162463588,751.838206042519,77380.794385736,238827.283319843,626405.78867404,869910.265687395,142748.543506805,0.377362847417773,0.00308416370970157,0.00251260574549825,0.00123750996204711,0.000756668598891264,0.000508365391919601,0.000353284686398815,0.000243542648876652,0.00107539962164329,0.000454289527930527,0.000291237981309396,323.732853334737,0.0963230728336658,0.0569367145172848,0.00344597981135822,0.00176087139372759
"844",11,21,34670.6826277508,625.620255181129,0.288313470851089,887418.864733199,77105.6763537692,1044580.99231747,9.2595878437727e-05,207.027713789489,226399120.581215,12565.2428144293,11150.9616614359,5606.6641533145,3450.51998150428,2326.01873358841,1619.37293710049,1116.97253668078,5082.03340593003,2066.46333144809,1308.09574526546,414454.651474841,246168.632537448,6074414.04665563,14326663.8970201,16995391.8953544,1705810.53827967,30,48902.8731217816,4329588.71899837,5.64246255517508,1.47276503473915,0.000140318778687741,1.36241490458713,6.46650963967521e-08,2.07680944891061e-11,3.21329107242155,4.64337203165613e-05,3.8118532997069,742.058231202581,76363.6181225666,244975.766843797,642443.097889402,897315.008306672,147265.984010798,0.38259191485861,0.0028182264097654,0.00250102088058755,0.00125750446854963,0.000773908366349409,0.000521696836377902,0.000363205044740972,0.000250522934442745,0.00113983637016986,0.000463481814200287,0.000293389473665839,319.277365497816,0.0929569815471621,0.055212537610192,0.00328870719214809,0.00168862703578715
"845",11,22,32013.1510817928,564.960309599016,0.263268221835113,908686.206166855,76242.9378747281,1075454.96270532,8.45433971835008e-05,201.910536673061,226400081.795914,11380.0607990869,11082.7232126753,5690.81389038228,3524.24580930429,2382.98806943306,1661.5749148832,1146.48366655236,5366.20678901185,2106.28443166195,1316.22352289115,400115.546342067,238788.552003529,6146002.8894462,14360380.688648,17029567.9734378,1729556.08132937,30,48902.8731217816,4329046.77600901,5.76090428640319,1.35987658712403,0.000126713513498744,1.37847138438434,5.9047761080723e-08,1.896202391252e-11,3.22085332601439,4.52860016527879e-05,3.81951856549279,733.846285078489,75509.0915896497,250869.440465344,657816.765701512,923820.033544059,151634.929161265,0.387917742423204,0.0025524049445263,0.00248571585216121,0.00127637819943423,0.000790444145088932,0.000534474344078734,0.000372670419193984,0.000257141910837741,0.00120357289679185,0.000472413187668036,0.000295212432274417,314.697573016296,0.0897409000615595,0.0535572780840487,0.00314571472021269,0.00162293170939737
"846",11,23,29578.8154297917,511.008249728815,0.240457251688309,929128.110171755,75540.0386727185,1105387.44529225,7.72107426136307e-05,197.406819389282,226401443.355489,10198.6784988141,10994.6958126353,5769.86143350513,3594.94740031698,2437.62239145178,1701.87833926802,1174.50107117153,5647.50562008528,2144.73386041011,1322.8027662176,386384.779440341,231687.907490437,6210951.70348491,14393870.6644789,17062620.0398562,1753716.44655587,30,48902.8731217816,4328559.00806031,5.87573463386567,1.25646920776611,0.000114612742965855,1.39303858899074,5.39315464997944e-08,1.73174014354466e-11,3.22836470766796,4.42758743374059e-05,3.82693172955602,727.161949560143,74812.8767231583,256533.951344609,672594.158827146,949517.067360054,155870.377932196,0.393336609400665,0.00228743570773328,0.00246597241009332,0.00129410757219256,0.000806301625437469,0.000546728137456764,0.000381709971925494,0.000263425863388196,0.00126666469744189,0.000481036912425192,0.000296688074056489,309.977493833656,0.0866612612133282,0.0519646925535748,0.00301559898416724,0.00156318284567362
"847",11,24,27348.6030531002,462.888489355365,0.219676436575462,948828.167124646,74992.4953114631,1134474.12572429,7.05319047523091e-05,193.440197749072,226403178.697939,9025.38409119683,10882.7861013635,5843.6007404787,3662.70800801621,2490.03664623631,1740.39741259828,1201.12838285343,5926.19250650005,2181.4966648723,1327.68629448775,373207.836117022,224841.440956286,6269837.0564365,14427192.8063309,17094683.5454077,1778271.27600421,30,48902.8731217816,4328120.92343807,5.98735067000384,1.16173271688996,0.000103820084079844,1.40624583530404,4.92706702372023e-08,1.58194218480006e-11,3.23583844626452,4.33862108403225e-05,3.83412317181221,721.963564129804,74270.5317473333,261992.367369086,686835.79975556,974488.334400012,159985.791324277,0.398843949756965,0.00202428048385014,0.0024408724650725,0.0013106463741417,0.0008214994801053,0.000558483997591222,0.000390349317089152,0.00026939803552297,0.00132917067165573,0.000489282348503308,0.000297783388213727,305.100988277314,0.0837058380494307,0.0504291159566815,0.00289707861008509,0.00150882447695318
"848",11,25,25305.0590729335,419.864711054725,0.200741725270007,967860.973444167,74595.3933256468,1162800.12107116,6.44474046214582e-05,189.934894124515,226405262.16493,7865.82680553473,10741.6923705872,5911.69751313834,3727.57814423667,2540.32729129026,1777.23211979985,1226.45721753808,6202.53248489478,2216.11494936329,1330.64378737014,360535.689482647,218226.289758608,6323184.74102799,14460393.608338,17125876.5503819,1803194.76190528,30,48902.8731217816,4327728.38712754,6.09610378824742,1.07492565418355,9.41703900750836e-05,1.41821105204007,4.50238519106168e-08,1.44547447611963e-11,3.24328496985532,4.26000151897594e-05,3.84111937170395,718.205116155434,73877.1882094913,267265.291055708,700595.682388459,998806.965897894,163993.155173269,0.404433975133088,0.00176420632417405,0.00240922691041044,0.00132591962639503,0.00083604903826359,0.000569763558690705,0.000398610880050135,0.000275078975548647,0.00139115026382817,0.000497046795641666,0.00029844671678373,300.052100396033,0.0808636344533008,0.0489454204893342,0.00278896930774739,0.00145933627174267
