"","ID","time","Acidogen Biomass (g/L)","Acetogen Biomass (g/L)","Methanogen Biomass (g/L)","Bacteroid Biomass (g/L)"
"1092",14,23,1.09213556030059,3.14988751870407,3.75466254220727,0.344837346536284
"1093",14,24,1.10494827421538,3.15352790166102,3.75829360876948,0.347547849119218
"1094",14,25,1.11677141531936,3.15706882240912,3.76160398241771,0.350312102966781
"1095",14,26,1.12767647691137,3.16052326564033,3.76462045555911,0.353129503884269
"1096",14,27,1.13772950200091,3.16390321179076,3.76736775441001,0.355999500951706
"1097",14,28,1.14699156705068,3.16721972982897,3.76986872556384,0.358921591961931
"1098",14,29,1.15551920694702,3.17048305791489,3.772144499465,0.361895318903678
"1099",14,30,1.16336479191938,3.17370267419928,3.7742146350027,0.364920263526711
"1100",14,31,1.17057686445119,3.17688735946146,3.77609724838872,0.367996043006193
"1101",14,32,1.17720044234613,3.18004525287937,3.77780912874542,0.371122305708939
"1102",14,33,1.18327729277047,3.1831839019357,3.77936584230116,0.374298727053549
"1103",14,34,1.1888461811118,3.18631030725028,3.78078182670324,0.377525005448474
"1104",14,35,1.19394309776665,3.18943096297006,3.78207047667013,0.380800858286107
"1105",14,36,1.19860146541992,3.19255189322726,3.7832442219865,0.384126017966219
"1106",14,37,1.20285232895653,3.19567868508296,3.78431459867577,0.387500227918125
"1107",14,38,1.20672452981744,3.19881651830007,3.78529231405357,0.390923238587427
"1108",14,39,1.21024486635099,3.20197019223099,3.78618730626007,0.394394803349769
"1109",14,40,1.2134382415025,3.20514415005726,3.7870087987846,0.397914674310526
"1110",14,41,1.21632779901466,3.20834250057871,3.78776535042631,0.401482597945518
"1111",14,42,1.21893504917153,3.21156903771551,3.78846490107652,0.405098310533637
"1112",14,43,1.22127998500221,3.21482725785685,3.78911481365939,0.408761533327353
"1113",14,44,1.22338118976175,3.21812037516368,3.7897219125252,0.412471967401631
"1114",14,45,1.22525593642283,3.2214513349085,3.79029251855366,0.416229288115384
"1115",14,46,1.22692027983915,3.22482282491252,3.790832481192,0.420033139112507
"1116",14,47,1.22838914217839,3.22823728511901,3.791347207623,0.42388312578146
"1117",14,48,1.22967639216704,3.23169691532021,3.79184168923128,0.427778808083614
"1118",14,49,1.23079491864031,3.2352036810346,3.79232052551108,0.431719692651039
"1119",14,50,1.23175669884607,3.23875931751075,3.79278794553603,0.435705224044678
"1120",14,51,1.23257286191265,3.2423653318134,3.79324782708895,0.439734775054257
"1121",14,52,1.23325374785438,3.24602300292854,3.79370371353028,0.443807635912879
"1122",14,53,1.23380896245645,3.24973337980569,3.79415882846466,0.447923002293546
"1123",14,54,1.23424742835125,3.25349727724104,3.79461608824931,0.452079961953959
"1124",14,55,1.2345774325713,3.25731526949528,3.79507811237493,0.456277479903433
"1125",14,56,1.23480667083973,3.26118768153868,3.79554723174157,0.460514381986467
"1126",14,57,1.23494228883638,3.26511457782875,3.79602549485151,0.464789336818664
"1127",14,58,1.23499092065772,3.26909574855985,3.79651467195097,0.469100836082203
"1128",14,59,1.23495872466986,3.27313069338939,3.79701625717863,0.473447173303698
"1129",14,60,1.23485141693736,3.27721860275762,3.79753146882772,0.477826421414773
"1130",14,61,1.23467430239498,3.28135833709492,3.79806124790951,0.482236409657461
"1131",14,62,1.23443230391616,3.2855484044777,3.79860625533101,0.48667470076781
"1132",14,63,1.23412998941911,3.28978693767789,3.79916686818169,0.491138569876587
"1133",14,64,1.23377159714072,3.29407167208088,3.79974317587783,0.495624987220467
"1134",14,65,1.23336105919815,3.29839992663968,3.8003349772465,0.500130607549094
"1135",14,66,1.23290202354918,3.30276859088348,3.80094178004243,0.504651769976647
"1136",14,67,1.23239787445425,3.30717412194074,3.80156280484902,0.50918451279973
"1137",14,68,1.23185175153607,3.3116125564129,3.80219699574359,0.513724608182974
"1138",14,69,1.231266567526,3.31607954243318,3.80284304035733,0.518267621120968
"1139",14,70,1.23064502478084,3.32057039687779,3.80349940179582,0.522808995095029
"1140",14,72.5,1.22894811146238,3.33186931618098,3.80517389925723,0.534125605438862
"1141",14,75,1.22707363422735,3.34320831328446,3.80687310179673,0.545338009869971
"1142",14,77.5,1.22505023438899,3.35451602379384,3.80856963936661,0.556393363208108
"1143",14,80,1.22290171720065,3.36573021621249,3.81023908480657,0.567246634285874
"1144",14,82.5,1.22064789966345,3.3767825667832,3.81185282015529,0.577840572972912
"1145",14,85,1.21830531034797,3.38757416431702,3.81336621918288,0.588087362771332
"1146",14,90,1.21340684378442,3.40777691136283,3.81580885288667,0.607061524404404
"1147",14,95,1.20829225181596,3.4248909470981,3.81686472493806,0.623138511923565
"1148",14,100,1.20302251991669,3.43700591484879,3.81557631590227,0.635088738748462
"1149",15,0,0.3,3,3.5,0.3
"1150",15,0.25,0.301929248122647,2.99963756079164,3.49972224341221,0.30037043046338
"1151",15,0.5,0.306942930809668,3.00000112773393,3.50055976808925,0.300877977839081
"1152",15,1,0.323079982209016,3.00217867509539,3.50446426793643,0.302028153101424
"1153",15,2,0.370002961510638,3.00952498047197,3.51724071920947,0.304586433825363
"1154",15,3,0.426510363840482,3.01879312136239,3.53325085689744,0.307430151830258
"1155",15,4,0.484617354324371,3.0287127074643,3.55008317554711,0.310540916074675
"1156",15,5,0.539632803647682,3.0385610562019,3.56633483797141,0.313898685777945
"1157",15,6,0.59019681151196,3.04811196764763,3.58158298729131,0.317483270534639
"1158",15,7,0.636714131379144,3.05740336842942,3.59592963572696,0.321276498096342
"1159",15,8,0.679870872249731,3.06651724502846,3.60956373194575,0.325262897470348
"1160",15,9,0.720164915425802,3.07550995606309,3.62262055394885,0.32942961038494
"1161",15,10,0.757923587752109,3.08441484378855,3.6351862025238,0.333766020703085
"1162",15,11,0.793380014451806,3.09325337257071,3.64731999994631,0.338263328293524
"1163",15,12,0.826716742311019,3.10204129368736,3.65906727063301,0.34291415115715
"1164",15,13,0.858086090835334,3.1107913299967,3.67046521679439,0.347712176488052
"1165",15,14,0.887620156519266,3.11951433856584,3.68154572294513,0.352651856448408
"1166",15,15,0.915436325817437,3.12821982649577,3.69233682759054,0.357728135508341
"1167",15,16,0.941640624399068,3.13691615689644,3.70286354733661,0.362936193045583
"1168",15,17,0.966329904029182,3.14561057860207,3.71314834138732,0.368271183038564
"1169",15,18,0.989593352392998,3.15430913207155,3.72321134809192,0.37372795007701
"1170",15,19,1.01151358451828,3.16301644488236,3.7330704537597,0.379300696465453
"1171",15,20,1.03216746333745,3.17173540611439,3.74274121499334,0.384982568301152
"1172",15,21,1.05162673796668,3.18046668984033,3.75223663024907,0.390765119281324
"1173",15,22,1.06995855510085,3.18920808151242,3.76156673755706,0.396637602481584
"1174",15,23,1.08722587937981,3.19795355314153,3.7707380053808,0.402586043347889
"1175",15,24,1.10348784662958,3.20669205814736,3.77975249926099,0.40859209451569
"1176",15,25,1.11880006633206,3.21540614301166,3.78860689805861,0.414631848352146
"1177",15,26,1.13321488478248,3.22407085138853,3.79729171180895,0.42067524838954
"1178",15,27,1.1467816171379,3.23265421993713,3.80579166281013,0.426687612199154
"1179",15,28,1.15954675434546,3.24112165035891,3.81408893022882,0.432635374115126
"1180",15,29,1.17155414940857,3.24944544014036,3.82217024496109,0.438495761384813
"1181",15,30,1.18284518636822,3.25761452865912,3.83003422482412,0.444263082731119
"1182",15,31,1.19345893460197,3.26563319096517,3.83769056292189,0.449942080777392
"1183",15,32,1.20343229047905,3.27350544221393,3.84514851917339,0.455531502080308
"1184",15,33,1.2128001079934,3.28121753610111,3.85240384961078,0.461011598753021
"1185",15,34,1.22159531968434,3.28873136931566,3.85943378157058,0.466343537224899
"1186",15,35,1.22984904891796,3.29599256888812,3.86620292028818,0.471481046665689
"1187",15,36,1.23759071442007,3.30294943572458,3.87267732101825,0.476387629135463
"1188",15,37,1.24484812781022,3.30956536228114,3.87883389422207,0.481040849719818
"1189",15,38,1.25164758477448,3.31580634039385,3.88465128372,0.485415678416073
"1190",15,39,1.25801395042608,3.32162073530364,3.89009467191307,0.489472404503163
"1191",15,40,1.26397073933135,3.32694263183255,3.89511798042818,0.493167074774813
"1192",15,41,1.26954019062006,3.33170617041552,3.89967447880364,0.496460717339315
"1193",15,42,1.27474333855122,3.33584020478315,3.90371269972587,0.499311270819939
"1194",15,43,1.27960007886559,3.33926115681289,3.90717049533516,0.501672916794036
"1195",15,44,1.28412923122235,3.3418818404207,3.90998063084715,0.503504988557016
"1196",15,45,1.28834859798899,3.34362271413552,3.91207764936978,0.504780309377252
"1197",15,46,1.29227501962899,3.3444392556581,3.91341633017442,0.505505563775155
"1198",15,47,1.29592442691086,3.3443695964462,3.9140069081818,0.505747132746118
"1199",15,48,1.29931189014332,3.34356499028147,3.91394211978112,0.505633581202757
"1200",15,49,1.3024516656257,3.34224336956458,3.91336981085578,0.50530962192585
